"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: IHE Structured Data Capture","Mapping: RIM Mapping","Mapping: W5 Mapping","Mapping: CDISC Define XML 2.0 metadata standard","Mapping: Object Implementation Information"
"ValueSet.compose.include.concept.extension","conceptConceptOrder","","",0,1,"Y","","","Extension {http://hl7.org/fhir/StructureDefinition/valueset-conceptOrder}
","Extension","An Extension","The presence of a sort order implies that sort order is important.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","list_item/list_item_order"
"ValueSet.compose.include.concept.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"ValueSet.compose.include.concept.code","","","",1,1,"Y","","","code
","Code or expression from system","Specifies a code for the concept to be included or excluded.","Expressions are allowed if defined by the underlying code system.","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.concept.code",1,1,"","","N/A"
"ValueSet.compose.include.concept.display","","","",0,1,"Y","","","string
","Text to display for this code for this value set in this valueset","The text to display to the user for this concept in the context of this valueset. If no display is provided, then applications using the value set use the display specified for the code by the system.","The value set resource allows for an alternative display to be specified for when this concept is used in this particular value set. See notes in the value set narrative about the correct use of this element.","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.concept.display",0,1,"","","N/A"
"ValueSet.compose.include.concept.display.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ValueSet.compose.include.concept.display.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"ValueSet.compose.include.concept.display.extension","codeDisplay-renderingStyle","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/rendering-style}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ValueSet.compose.include.concept.display.extension","codeDisplay-xhtml","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/rendering-xhtml}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","list_item/item_prompt_html"
"ValueSet.compose.include.concept.display.value","","","",0,1,"","","","null
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"ValueSet.compose.include.concept.designation","","","",0,*,"","","","BackboneElement
","Additional representations for this concept","Additional representations for this concept when used in this value set - other languages, aliases, specialized purposes, used for particular purposes, etc.","","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.concept.designation",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"ValueSet.compose.include.concept.designation.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ValueSet.compose.include.concept.designation.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"ValueSet.compose.include.concept.designation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"ValueSet.compose.include.concept.designation.language","","","",0,1,"","","","code
","Human language of the designation","The language this designation is defined for.","In the absence of a language, the resource language applies.","","","","","","","","",,"extensible","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"ValueSet.compose.include.concept.designation.language",0,1,"",""
"ValueSet.compose.include.concept.designation.use","","","",0,1,"","","","Coding
","Details how this designation would be used","A code that details how this designation would be used.","If no use is provided, the designation can be assumed to be suitable for general display to a human user.","","","","","","","","",,"extensible","Details of how a designation would be used.","http://hl7.org/fhir/ValueSet/designation-use","",,,,"ValueSet.compose.include.concept.designation.use",0,1,"",""
"ValueSet.compose.include.concept.designation.value","","","",1,1,"","","","string
","The text value for this designation","The text value for this designation.","","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.concept.designation.value",1,1,"",""
"ValueSet.compose.include.filter","","","",0,*,"Y","Y","Y","BackboneElement
","Select codes/concepts by their properties (including relationships)","Select concepts by specify a matching criteria based on the properties (including relationships) defined by the system. If multiple filters are specified, they SHALL all be true.","Selecting codes by specifying filters based on properties is only possible where the underlying code system defines appropriate properties. Note that in some cases, the underlying code system defines the logical concepts but not the literal codes for the concepts. In such cases, the literal definitions may be provided by a third party.","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.filter",0,*,"vsd-3
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
","N/A"
"ValueSet.compose.include.filter.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ValueSet.compose.include.filter.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"ValueSet.compose.include.filter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"ValueSet.compose.include.filter.property","","","",1,1,"Y","","Y","code
","A property defined by the code system","A code that identifies a property defined in the code system.","","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.filter.property",1,1,"","","N/A"
"ValueSet.compose.include.filter.op","","","",1,1,"Y","","Y","code
","= | is-a | descendent-of | is-not-a | regex | in | not-in | generalizes | exists","The kind of operation to perform as a part of the filter criteria.","","","","","","","","","",,"required","The kind of operation to perform as a part of a property based filter.","http://hl7.org/fhir/ValueSet/filter-operator","",,,,"ValueSet.compose.include.filter.op",1,1,"","","N/A"
"ValueSet.compose.include.filter.value","","","",1,1,"Y","","Y","code
","Code from the system, or regex criteria, or boolean value for exists","The match value may be either a code defined by the system, or a string value, which is a regex match on the literal string of the property value when the operation is 'regex', or one of the values (true and false), when the operation is 'exists'.","Use regex matching with care - full regex matching on every SNOMED CT term is prohibitive, for example.","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.filter.value",1,1,"","","N/A"
"ValueSet.compose.include.valueSet","","","",0,*,"Y","","Y","uri
","Select only contents included in this value set","Selects concepts found in this value set. This is an absolute URI that is a reference to ValueSet.url.","The value set URI is either a logical reference to a defined value set such as a [SNOMED CT reference set]{snomedct.html#implicit}, or a direct reference to a value set definition using ValueSet.url. The reference may not refer to an actual FHIR ValueSet resource; in this case, whatever is referred to is an implicit definition of a value set that needs to be clear about how versions are resolved.","","","","","","","","",,,,,"",,,,"ValueSet.compose.include.valueSet",0,*,"vsd-1
","","N/A"
"ValueSet.compose.exclude","","","",0,*,"Y","","","","Explicitly exclude codes from a code system or other value sets","Exclude one or more codes from the value set based on code system filters and/or other value sets.","Usually this is used to selectively exclude codes that were included by subsumption in the inclusions. Any display names specified for the codes are ignored.","","","","","","","","",,,,,"",,,,"ValueSet.compose.exclude",0,*,"vsd-2
","","N/A"
"ValueSet.expansion","","","",0,1,"Y","","","BackboneElement
","Used when the value set is ""expanded""","A value set can also be ""expanded"", where the value set is turned into a simple collection of enumerated codes. This element holds the expansion, if it has been performed.","Expansion is performed to produce a collection of codes that are ready to use for data entry or validation.","","","","","","","","",,,,,"",,,,"ValueSet.expansion",0,1,"vsd-5
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"ValueSet.expansion.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ValueSet.expansion.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"ValueSet.expansion.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"ValueSet.expansion.identifier","","","",1,1,"Y","","","uri
","Uniquely identifies this expansion","An identifier that uniquely identifies this expansion of the valueset. Systems may re-use the same identifier as long as the expansion and the definition remain the same, but are not required to do so.","Typically, this uri is a UUID (e.g. urn:uuid:8230ff20-c97a-4167-a59d-dc2cb9df16dd).","","","","","","","","",,,,,"",,,,"ValueSet.expansion.identifier",1,1,"",""
"ValueSet.expansion.timestamp","","","",1,1,"Y","","","dateTime
","Time ValueSet expansion happened","The time at which the expansion was produced by the expanding system.","This SHOULD be a fully populated instant, but in some circumstances, value sets are expanded by hand, and the expansion is published without that precision.","","","","","","","","",,,,,"",,,,"ValueSet.expansion.timestamp",1,1,"",""
"ValueSet.expansion.total","","","",0,1,"","","","integer
","Total number of codes in the expansion","The total number of concepts in the expansion. If the number of concept nodes in this resource is less than the stated number, then the server can return more using the offset parameter.","Paging only applies to flat expansions.","","","","","","","","",,,,,"",,,,"ValueSet.expansion.total",0,1,"",""
"ValueSet.expansion.offset","","","",0,1,"","","","integer
","Offset at which this resource starts","If paging is being used, the offset at which this resource starts.  I.e. this resource is a partial view into the expansion. If paging is not being used, this element SHALL not be present.","Paging only applies to flat expansions. If a filter is applied, the count is the number of concepts that matched the filter, not the number of concepts in an unfiltered view of the expansion.","","","Paging is not being used","","","","","",,,,,"",,,,"ValueSet.expansion.offset",0,1,"",""
"ValueSet.expansion.parameter","","","",0,*,"","","","BackboneElement
","Parameter that controlled the expansion process","A parameter that controlled the expansion process. These parameters may be used by users of expanded value sets to check whether the expansion is suitable for a particular purpose, or to pick the correct expansion.","The server decides which parameters to include here, but at a minimum, the list SHOULD include the date, filter, and profile parameters passed to the $expand operation (if any).","","","","","","","","",,,,,"",,,,"ValueSet.expansion.parameter",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"ValueSet.expansion.parameter.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ValueSet.expansion.parameter.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"ValueSet.expansion.parameter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"ValueSet.expansion.parameter.name","","","",1,1,"","","","string
","Name as assigned by the server","The name of the parameter.","The names are assigned at the discretion of the server.","","","","","","","","",,,,,"",,,,"ValueSet.expansion.parameter.name",1,1,"",""
"ValueSet.expansion.parameter.value[x]","","","",0,1,"","","","string
booleanintegerdecimaluricode","Value of the named parameter","The value of the parameter.","","","","","","","","","",,,,,"",,,,"ValueSet.expansion.parameter.value[x]",0,1,"",""
"ValueSet.expansion.contains","","","",0,*,"Y","","","BackboneElement
","Codes in the value set","The codes that are contained in the value set expansion.","","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
vsd-6:SHALL have a code or a display {code.exists() or display.exists()}vsd-9:Must have a code if not abstract {code.exists() or abstract = true}vsd-10:Must have a system if a code is present {code.empty() or system.exists()}","list_item"
"ValueSet.expansion.contains.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ValueSet.expansion.contains.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"ValueSet.expansion.contains.extension","expansionLabel","","",0,1,"Y","","","Extension {http://hl7.org/fhir/StructureDefinition/valueset-label}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","item_number/label"
"ValueSet.expansion.contains.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ValueSet.expansion.contains.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"ValueSet.expansion.contains.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/StructureDefinition/valueset-label""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"ValueSet.expansion.contains.extension.valueString","","","",0,1,"","","","string
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"ValueSet.expansion.contains.extension.valueString.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ValueSet.expansion.contains.extension.valueString.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"ValueSet.expansion.contains.extension.valueString.extension","expansion-renderingStyle","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/rendering-style}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","item_number/style"
"ValueSet.expansion.contains.extension.valueString.extension","expansion-xhtml","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/rendering-xhtml}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ValueSet.expansion.contains.extension.valueString.value","","","",0,1,"","","","null
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"ValueSet.expansion.contains.extension","conceptConceptOrder","","",0,1,"Y","","","Extension {http://hl7.org/fhir/StructureDefinition/valueset-conceptOrder}
","Extension","An Extension","The presence of a sort order implies that sort order is important.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","list_item_order"
"ValueSet.expansion.contains.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"ValueSet.expansion.contains.system","","","",0,1,"Y","","","uri
","System value for the code","An absolute URI which is the code system in which the code for this item in the expansion is defined.","","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.system",0,1,"",""
"ValueSet.expansion.contains.abstract","","","",0,1,"Y","","","boolean
","If user cannot select this entry","If true, this entry is included in the expansion for navigational purposes, and the user cannot select the code directly as a proper value.","This should not be understood to exclude its use for searching (e.g. by subsumption testing). The client should know whether it is appropriate for the user to select an abstract code or not.","","<valueBoolean xmlns=""http://hl7.org/fhir"" value=""false""/>","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.abstract",0,1,"",""
"ValueSet.expansion.contains.inactive","","","",0,1,"","","","boolean
","If concept is inactive in the code system","If the concept is inactive in the code system that defines it. Inactive codes are those that are no longer to be used, but are maintained by the code system for understanding legacy data.","This should only have a value if the concept is inactive.","","<valueBoolean xmlns=""http://hl7.org/fhir"" value=""false""/>","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.inactive",0,1,"",""
"ValueSet.expansion.contains.version","","","",0,1,"Y","","","string
","Version in which this code/display is defined","The version of this code system that defined this code and/or display. This should only be used with code systems that do not enforce concept permanence.","The exact value of the version string is specified by the system from which the code is derived.","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.version",0,1,"",""
"ValueSet.expansion.contains.code","","","",0,1,"Y","","","code
","Code - if blank, this is not a selectable code","The code for this item in the expansion hierarchy. If this code is missing the entry in the hierarchy is a place holder (abstract) and does not represent a valid code in the value set.","","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.code",0,1,"vsd-6
","","value"
"ValueSet.expansion.contains.display","","","",0,1,"Y","","","string
","User display for the concept","The recommended display for this item in the expansion.","","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.display",0,1,"vsd-6
","","item_prompt"
"ValueSet.expansion.contains.display.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ValueSet.expansion.contains.display.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"ValueSet.expansion.contains.display.extension","expansionDisplay-renderingStyle","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/rendering-style}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ValueSet.expansion.contains.display.extension","expansionDisplay-xhtml","","",0,1,"","","","Extension {http://hl7.org/fhir/StructureDefinition/rendering-xhtml}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","item_prompt_html"
"ValueSet.expansion.contains.display.value","","","",0,1,"","","","null
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"ValueSet.expansion.contains.designation","","","",0,*,"","","","","Additional representations for this item","Additional representations for this item - other languages, aliases, specialized purposes, used for particular purposes, etc. These are relevant when the conditions of the expansion do not fix to a single correct representation.","The designations provided must be based on the value set and code system definitions.","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.designation",0,*,"",""
"ValueSet.expansion.contains.contains","","","",0,*,"Y","","","","Codes contained under this entry","Other codes and entries contained under this entry in the hierarchy.","If the expansion uses this element, there is  no implication about the logical relationship between them, and the  structure cannot be used for logical inferencing. The structure  exists to provide navigational assistance for helping human users to  locate codes in the expansion.","","","","","","","","",,,,,"",,,,"ValueSet.expansion.contains.contains",0,*,"",""
